WSJSUBSET Vs Treebank

Accuracy: 0.935601663254


FAIL %: (WSJSUBSET, TREEBANK)
0.0190101606031 ('JJ', 'RB')
0.0206489675516 ('NN', 'NNP')
0.0216322517207 ('NNP', 'JJ')
0.0252376270075 ('(', '-LRB-')
0.0252376270075 (')', '-RRB-')
0.0272041953458 ('IN', 'NNP')
0.0281874795149 ('VB', 'NN')
0.0294985250737 ('IN', 'RP')
0.0304818092429 ('VBD', 'VBN')
0.0308095706326 ('RB', 'IN')
0.0311373320223 ('VBZ', 'NNS')
0.0321206161914 ('JJ', 'NNP')
0.0367092756473 ('VBG', 'NN')
0.0409701737135 ('VBN', 'VBD')
0.0744018354638 ('NN', 'JJ')
0.0884955752212 ('JJ', 'NN')
