@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute F0final_sma_quartile1 numeric
@attribute pcm_loudness_sma_linregerrA numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute gender {m,f}

@data

23.40416,0.055824,9.130857,1.173908,2.265453,114.2347,100.858,0.089655,20.50418,-0.301046,96.51923,107.041,132.0993,0.134483,-6.002518,-6.019212,-17.83182,147.1744,0.032547,-0.014819,0.62069,10.65233,-15.42585,0.535656,2.266607,156.8774,135.2006,553.0541,2.913235,-30.15174,-42.62458,-15.11251,2.253585,2.197134,422.3434,66.29755,0.384088,1.938894,5.544616,m
32.39732,0.037435,9.243453,0.26726,2.275448,100.6864,102.777,0.02439,28.43686,-1.254963,99.24927,109.0911,119.3831,0.080139,-2.75346,-10.29375,-7.801353,110.8227,0.02503,-0.005697,0.466899,7.103131,-12.49971,0.457141,2.248765,120.2493,118.2428,149.7389,0.493778,-26.95266,-40.10972,-14.18294,2.262616,2.224532,148.116,91.7169,0.26719,0.687539,8.2932,m
18.80239,0.03006,15.90617,0.051259,2.213091,141.9658,131.8284,0.085324,57.05055,-0.731503,136.7226,147.9875,169.578,0.020478,3.860674,7.695852,-24.58374,158.9566,0.01842,-0.008005,0.457338,-4.368705,-8.919172,0.619992,2.064788,162.4184,169.8524,266.343,-15.27553,-23.06758,-36.68177,-15.85337,2.185789,2.088968,254.2175,103.6739,0.2104,0.723107,7.173705,m
17.16232,0.064076,13.57295,0.985555,2.092634,157.4623,151.06,0.091549,47.13549,0.433028,143.6134,157.7621,176.8562,0.035211,8.841491,5.719934,-14.24817,167.5437,0.023425,-0.008731,0.640845,-0.395466,-14.65683,0.592923,2.156735,175.9584,140.0782,290.4295,-10.77645,-23.89606,-39.60995,-14.91421,2.132145,2.033698,317.1458,133.2747,0.193865,0.21827,3.890862,m
15.47351,0.062987,9.353836,1.030217,2.296039,138.7445,145.1082,0.130435,14.57385,-1.212023,142.3764,148.6882,157.3064,0.050725,-8.243788,-14.9849,-1.765143,160.7788,0.023927,-0.003406,0.478261,8.528067,-1.464688,0.500502,2.289341,171.5063,133.9307,228.2392,-2.226931,-39.12375,-18.449,-17.36887,2.287861,2.256357,223.5721,107.8199,0.266296,0.929606,7.450936,f
19.69584,0.074937,11.9014,0.445577,2.278331,147.9129,143.2111,0.047782,15.91358,-0.876529,136.577,165.0134,188.2627,0.098976,-10.2034,-10.62473,-2.182045,162.7758,0.020465,-0.010168,0.399317,-3.541897,-4.070781,0.446971,2.272087,190.4375,140.2232,236.3369,-11.35299,-41.24639,-37.5778,-19.64414,2.251249,2.206681,226.1822,126.3204,0.288461,0.545222,7.487941,f
20.15362,0.154185,11.72386,-0.709597,2.249495,165.0536,182.3392,0.019231,25.48006,-1.087976,172.061,190.9369,214.0856,0.033654,3.962638,1.617381,-0.78558,191.6167,0.012501,-0.005687,0.100962,10.05564,-0.745093,0.49383,2.230915,213.6874,164.9354,255.91,4.437172,-24.01556,-16.86416,-12.21319,2.240192,2.207767,242.0062,123.865,0.358887,0.790321,4.79777,f
16.24312,0.17586,12.41304,0.296432,2.27213,171.4817,187.5941,0.096491,24.06124,-0.662144,186.1469,193.1451,206.8988,0.026316,1.697621,-1.930748,-5.89283,200.5421,0.015687,-0.021347,0.31579,15.32154,-6.365821,0.448619,2.253204,214.998,183.5908,286.4554,6.597391,-17.7186,-34.05974,-14.61751,2.266775,2.238362,335.9753,134.7949,0.291712,0.980388,3.110323,f
11.26494,0.094102,9.938835,1.164816,2.214081,86.05164,93.84722,0.124088,32.05982,0.00437,94.66543,98.59975,102.7696,0.054745,4.459802,7.12162,-8.359192,107.5648,0.023127,-0.009769,0.609489,10.08034,-5.401173,0.608395,2.119488,108.0411,94.0166,167.0401,3.364466,-17.59394,-18.4546,-6.002739,2.19788,2.115155,161.909,61.24461,0.248592,1.07037,3.263875,m
9.380501,0.078865,14.59807,0.118702,2.238182,113.912,122.9856,0.115942,37.59591,-0.303808,115.5418,130.571,136.4502,0.115942,11.40064,18.94103,-13.10673,125.3787,0.017087,-0.010955,0.641304,9.992638,-12.91048,0.634417,2.207596,138.4768,136.0347,154.6832,3.436817,-18.14563,-37.76109,-9.069925,2.21959,2.155085,154.267,103.0576,0.371368,0.309021,3.805341,m
