@attribute F0finEnv_sma_de_linregc2 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute F0finEnv_sma_percentile1.0 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute F0finEnv_sma_de_linregerrQ numeric
@attribute F0final_sma_de_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute F0final_sma_de_stddev numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute gender {m,f}

@data

114.2347,132.0993,107.041,100.858,147.1744,156.8774,66.29755,96.51923,110.81,422.3434,0.804859,135.2006,163.0543,553.0541,89.82279,-6.019212,7919.548,20.50418,-6.002518,-11.84382,0.595067,0.032547,-5.961551,0.673607,0.732935,2.265453,-9.665723,-30.15174,-0.303163,0.042183,2.440142,0.001779,26.7892,2.253585,153.7023,1194.479,-15.42585,34.59678,-15.11251,m
100.6864,119.3831,109.0911,102.777,110.8227,120.2493,91.7169,99.24927,26.68425,148.116,0.788804,118.2428,124.2278,149.7389,29.69601,-10.29375,778.089,28.43686,-2.75346,-10.40763,0.423062,0.02503,-2.946466,0.734831,0.756318,2.275448,-14.47825,-26.95266,4.257288,0.031648,1.024422,0.001001,91.40133,2.262616,4.708236,164.3044,-12.49971,12.85546,-14.18294,m
141.9658,169.578,147.9875,131.8284,158.9566,162.4184,103.6739,136.7226,44.84504,254.2175,0.787088,169.8524,174.6882,266.343,60.77316,7.695852,3431.354,57.05055,3.860674,-7.959873,0.787088,0.01842,1.778407,0.703292,0.748554,2.213091,-12.7425,-23.06758,12.89916,0.024393,1.519317,0.000593,119.1864,2.185789,35.60168,604.9143,-8.919172,24.6359,-15.85337,m
157.4623,176.8562,157.7621,151.06,167.5437,175.9584,133.2747,143.6134,69.49258,317.1458,0.793413,140.0782,149.0076,290.4295,54.63789,5.719934,2883.699,47.13549,8.841491,-1.403568,0.569916,0.023425,7.348456,0.744972,0.769904,2.092634,1.356024,-23.89606,21.40861,0.031262,1.678743,0.000976,114.0812,2.132145,71.71682,589.5422,-14.65683,24.28431,-14.91421,m
138.7445,157.3064,148.6882,145.1082,160.7788,171.5063,107.8199,142.3764,44.78101,223.5721,0.823931,133.9307,158.7191,228.2392,44.05637,-14.9849,1933.157,14.57385,-8.243788,-16.82567,0.823931,0.023927,-6.240739,0.72808,0.77914,2.296039,-10.86137,-39.12375,1.494563,0.03262,1.010792,0.001063,139.1408,2.287861,12.20445,446.0416,-1.464688,21.12397,-17.36887,f
147.9129,188.2627,165.0134,143.2111,162.7758,190.4375,126.3204,136.577,56.10986,226.1822,0.820476,140.2232,140.1924,236.3369,46.51238,-10.62473,2143.505,15.91358,-10.2034,-18.27903,0.820476,0.020465,-9.036799,0.732642,0.772017,2.278331,-17.50955,-41.24639,0.071802,0.026413,2.099097,0.000683,0,2.251249,21.6232,560.6458,-4.070781,23.73927,-19.64414,f
165.0536,214.0856,190.9369,182.3392,191.6167,213.6874,123.865,172.061,63.39321,242.0062,0.836914,164.9354,192.265,255.91,58.20489,1.617381,3387.804,25.48006,3.962638,-3.907562,0.647806,0.012501,4.635857,0.724175,0.780163,2.249495,-9.327675,-24.01556,12.68058,0.016476,1.324506,0.000271,135.5231,2.240192,21.31013,833.2172,-0.745093,28.87834,-12.21319,f
171.4817,206.8988,193.1451,187.5941,200.5421,214.998,134.7949,186.1469,63.77406,335.9753,0.843707,183.5908,209.4873,286.4554,58.6566,-1.930748,3391.148,24.06124,1.697621,-5.755291,0.645423,0.015687,0.256156,0.738409,0.780945,2.27213,-8.866307,-17.7186,8.312198,0.021245,2.703612,0.000447,140.0946,2.266775,53.62428,858.0479,-6.365821,29.33856,-14.61751,f
86.05164,102.7696,98.59975,93.84722,107.5648,108.0411,61.24461,94.66543,38.65708,161.909,0.792617,94.0166,88.31776,167.0401,32.8102,7.12162,1055.089,32.05982,4.459802,-2.958819,0.792617,0.023127,4.478944,0.677615,0.726142,2.214081,-2.624583,-17.59394,11.80429,0.032119,1.619892,0.001032,81.96259,2.19788,10.81618,230.9422,-5.401173,15.2409,-6.002739,m
113.912,136.4502,130.571,122.9856,125.3787,138.4768,103.0576,115.5418,38.83731,154.267,0.792278,136.0347,132.4043,154.6832,31.27492,18.94103,813.414,37.59591,11.40064,2.456988,0.792278,0.017087,11.16957,0.729642,0.755691,2.238182,-5.243332,-18.14563,20.10079,0.022712,1.910985,0.000514,0,2.21959,14.59255,236.5465,-12.91048,15.39093,-9.069925,m
